"Name"	"File Extension"	"File Type"	"Is Deleted"	"Last Accessed"	"File Created"	"Last Modified"	"Size"	"Address"	"Hash Value"	"Known Status"	"Permissions"	"Full Path"
"pre-applypatch.sample"	".sample"	"r"	""	"2025-12-01 15:09:28 IST"	"2025-12-01 15:09:28 IST"	"2025-12-01 15:09:28 IST"	"424"	"57"	"054f9ffb8bfe04a599751cc757226dda"	"unknown"	"rrwxrwxrwx"	"/img_case3.E01/vol_vol2/.git/hooks/pre-applypatch.sample"
"pre-commit.sample"	".sample"	"r"	""	"2025-12-01 15:09:28 IST"	"2025-12-01 15:09:28 IST"	"2025-12-01 15:09:28 IST"	"1649"	"58"	"5029bfab85b1c39281aa9697379ea444"	"unknown"	"rrwxrwxrwx"	"/img_case3.E01/vol_vol2/.git/hooks/pre-commit.sample"
"pre-commit.sample-slack"	".sample-slack"	"r"	""	"2025-12-01 15:09:28 IST"	"2025-12-01 15:09:28 IST"	"2025-12-01 15:09:28 IST"	"2447"	"58"	"null"	"unknown"	"rrwxrwxrwx"	"/img_case3.E01/vol_vol2/.git/hooks/pre-commit.sample-slack"
"pre-merge-commit.sample"	".sample"	"r"	""	"2025-12-01 15:09:28 IST"	"2025-12-01 15:09:28 IST"	"2025-12-01 15:09:28 IST"	"416"	"59"	"39cb268e2a85d436b9eb6f47614c3cbc"	"unknown"	"rrwxrwxrwx"	"/img_case3.E01/vol_vol2/.git/hooks/pre-merge-commit.sample"
"pre-push.sample"	".sample"	"r"	""	"2025-12-01 15:09:28 IST"	"2025-12-01 15:09:28 IST"	"2025-12-01 15:09:28 IST"	"1374"	"60"	"2c642152299a94e05ea26eae11993b13"	"unknown"	"rrwxrwxrwx"	"/img_case3.E01/vol_vol2/.git/hooks/pre-push.sample"
"pre-push.sample-slack"	".sample-slack"	"r"	""	"2025-12-01 15:09:28 IST"	"2025-12-01 15:09:28 IST"	"2025-12-01 15:09:28 IST"	"2722"	"60"	"null"	"unknown"	"rrwxrwxrwx"	"/img_case3.E01/vol_vol2/.git/hooks/pre-push.sample-slack"
"pre-rebase.sample"	".sample"	"r"	""	"2025-12-01 15:09:28 IST"	"2025-12-01 15:09:28 IST"	"2025-12-01 15:09:28 IST"	"4898"	"61"	"56e45f2bcbc8226d2b4200f7c46371bf"	"unknown"	"rrwxrwxrwx"	"/img_case3.E01/vol_vol2/.git/hooks/pre-rebase.sample"
"pre-rebase.sample-slack"	".sample-slack"	"r"	""	"2025-12-01 15:09:28 IST"	"2025-12-01 15:09:28 IST"	"2025-12-01 15:09:28 IST"	"3294"	"61"	"null"	"unknown"	"rrwxrwxrwx"	"/img_case3.E01/vol_vol2/.git/hooks/pre-rebase.sample-slack"
"pre-receive.sample"	".sample"	"r"	""	"2025-12-01 15:09:28 IST"	"2025-12-01 15:09:28 IST"	"2025-12-01 15:09:28 IST"	"544"	"62"	"2ad18ec82c20af7b5926ed9cea6aeedd"	"unknown"	"rrwxrwxrwx"	"/img_case3.E01/vol_vol2/.git/hooks/pre-receive.sample"
"prepare-commit-msg.sample"	".sample"	"r"	""	"2025-12-01 15:09:28 IST"	"2025-12-01 15:09:28 IST"	"2025-12-01 15:09:28 IST"	"1492"	"63"	"2b5c047bdb474555e1787db32b2d2fc5"	"unknown"	"rrwxrwxrwx"	"/img_case3.E01/vol_vol2/.git/hooks/prepare-commit-msg.sample"
"prepare-commit-msg.sample-slack"	".sample-slack"	"r"	""	"2025-12-01 15:09:28 IST"	"2025-12-01 15:09:28 IST"	"2025-12-01 15:09:28 IST"	"2604"	"63"	"null"	"unknown"	"rrwxrwxrwx"	"/img_case3.E01/vol_vol2/.git/hooks/prepare-commit-msg.sample-slack"
"push-to-checkout.sample"	".sample"	"r"	""	"2025-12-01 15:09:28 IST"	"2025-12-01 15:09:28 IST"	"2025-12-01 15:09:28 IST"	"2783"	"64"	"c7ab00c7784efeadad3ae9b228d4b4db"	"unknown"	"rrwxrwxrwx"	"/img_case3.E01/vol_vol2/.git/hooks/push-to-checkout.sample"
"push-to-checkout.sample-slack"	".sample-slack"	"r"	""	"2025-12-01 15:09:28 IST"	"2025-12-01 15:09:28 IST"	"2025-12-01 15:09:28 IST"	"1313"	"64"	"null"	"unknown"	"rrwxrwxrwx"	"/img_case3.E01/vol_vol2/.git/hooks/push-to-checkout.sample-slack"
"sendemail-validate.sample"	".sample"	"r"	""	"2025-12-01 15:09:28 IST"	"2025-12-01 15:09:28 IST"	"2025-12-01 15:09:28 IST"	"2308"	"65"	"4d67df3a8d5c98cb8565c07e42be0b04"	"unknown"	"rrwxrwxrwx"	"/img_case3.E01/vol_vol2/.git/hooks/sendemail-validate.sample"
"sendemail-validate.sample-slack"	".sample-slack"	"r"	""	"2025-12-01 15:09:28 IST"	"2025-12-01 15:09:28 IST"	"2025-12-01 15:09:28 IST"	"1788"	"65"	"null"	"unknown"	"rrwxrwxrwx"	"/img_case3.E01/vol_vol2/.git/hooks/sendemail-validate.sample-slack"
"update.sample"	".sample"	"r"	""	"2025-12-01 15:09:28 IST"	"2025-12-01 15:09:28 IST"	"2025-12-01 15:09:28 IST"	"3650"	"66"	"647ae13c682f7827c22f5fc08a03674e"	"unknown"	"rrwxrwxrwx"	"/img_case3.E01/vol_vol2/.git/hooks/update.sample"
"update.sample-slack"	".sample-slack"	"r"	""	"2025-12-01 15:09:28 IST"	"2025-12-01 15:09:28 IST"	"2025-12-01 15:09:28 IST"	"446"	"66"	"null"	"unknown"	"rrwxrwxrwx"	"/img_case3.E01/vol_vol2/.git/hooks/update.sample-slack"
"index"	""	"r"	""	"2025-12-01 20:54:39 IST"	"2025-12-01 20:54:39 IST"	"2025-12-01 20:54:39 IST"	"721"	"84"	"fc58be33e547f1123f143a0db2c3671f"	"unknown"	"rrwxrwxrwx"	"/img_case3.E01/vol_vol2/.git/index"
"exclude"	""	"r"	""	"2025-12-01 20:54:14 IST"	"2025-12-01 15:09:28 IST"	"2025-12-01 15:09:28 IST"	"240"	"68"	"036208b4a1ab4a235d75c181e685e5a3"	"unknown"	"rrwxrwxrwx"	"/img_case3.E01/vol_vol2/.git/info/exclude"
"HEAD"	""	"r"	""	"2025-12-01 15:44:12 IST"	"2025-12-01 15:14:46 IST"	"2025-12-01 15:44:12 IST"	"3368"	"98"	"18f8b01eb2a138782e13975860bb51a9"	"unknown"	"rrwxrwxrwx"	"/img_case3.E01/vol_vol2/.git/logs/HEAD"
"HEAD-slack"	""	"r"	""	"2025-12-01 15:44:12 IST"	"2025-12-01 15:14:46 IST"	"2025-12-01 15:44:12 IST"	"728"	"98"	"null"	"unknown"	"rrwxrwxrwx"	"/img_case3.E01/vol_vol2/.git/logs/HEAD-slack"
"main"	""	"r"	""	"2025-12-01 15:44:12 IST"	"2025-12-01 15:14:46 IST"	"2025-12-01 15:44:12 IST"	"1774"	"101"	"aec004e566e4a216c225304eb2c4c654"	"unknown"	"rrwxrwxrwx"	"/img_case3.E01/vol_vol2/.git/logs/refs/heads/main"
"main-slack"	""	"r"	""	"2025-12-01 15:44:12 IST"	"2025-12-01 15:14:46 IST"	"2025-12-01 15:44:12 IST"	"2322"	"101"	"null"	"unknown"	"rrwxrwxrwx"	"/img_case3.E01/vol_vol2/.git/logs/refs/heads/main-slack"
